FM
     QTR       Y          PI        R        DR
   32.0000   -0.0000   -0.0004   -0.0017    0.0003
   33.0000    0.0000   -0.0004   -0.0015    0.0002
   34.0000    0.0000   -0.0003   -0.0013    0.0002
   35.0000    0.0001   -0.0003   -0.0012    0.0001
   36.0000    0.0001   -0.0003   -0.0011    0.0001
   37.0000    0.0001   -0.0003   -0.0010    0.0001
   38.0000    0.0001   -0.0002   -0.0009    0.0001
   39.0000    0.0001   -0.0002   -0.0008    0.0001
   40.0000    0.0001   -0.0002   -0.0007    0.0001
   41.0000    0.0001   -0.0002   -0.0007    0.0001

TAYMCM
    1.0000         0         0         0         0
    2.0000   -0.1562   -0.0266    0.8123    0.8123
    3.0000   -0.2007   -0.0537    0.5171   -0.2952
    4.0000   -0.1974   -0.0671    0.3313   -0.1858
    5.0000   -0.1739   -0.0767    0.2039   -0.1274
    6.0000   -0.1440   -0.0668    0.1139   -0.0901
    7.0000   -0.1145   -0.0561    0.0511   -0.0627
    8.0000   -0.0884   -0.0455    0.0090   -0.0421
    9.0000   -0.0669   -0.0356   -0.0166   -0.0256
   10.0000   -0.0498   -0.0276   -0.0309   -0.0143
   11.0000   -0.0367   -0.0212   -0.0377   -0.0068
   12.0000   -0.0270   -0.0164   -0.0397   -0.0020
   13.0000   -0.0198   -0.0127   -0.0387    0.0009
   14.0000   -0.0146   -0.0100   -0.0363    0.0025
   15.0000   -0.0108   -0.0081   -0.0331    0.0032
   16.0000   -0.0082   -0.0066   -0.0297    0.0034
   17.0000   -0.0062   -0.0056   -0.0264    0.0033
   18.0000   -0.0049   -0.0048   -0.0233    0.0030
   19.0000   -0.0039   -0.0042   -0.0206    0.0027
   20.0000   -0.0031   -0.0037   -0.0182    0.0024
   21.0000   -0.0026   -0.0033   -0.0162    0.0021
   22.0000   -0.0021   -0.0030   -0.0144    0.0018
   23.0000   -0.0018   -0.0028   -0.0128    0.0015
   24.0000   -0.0016   -0.0026   -0.0115    0.0013
   25.0000   -0.0013   -0.0024   -0.0104    0.0011
   26.0000   -0.0012   -0.0022   -0.0094    0.0010
   27.0000   -0.0010   -0.0021   -0.0086    0.0008
   28.0000   -0.0009   -0.0019   -0.0079    0.0007
   29.0000   -0.0008   -0.0018   -0.0072    0.0006
   30.0000   -0.0008   -0.0017   -0.0067    0.0006
   31.0000   -0.0007   -0.0016   -0.0062    0.0005
   32.0000   -0.0006   -0.0015   -0.0057    0.0004
   33.0000   -0.0006   -0.0014   -0.0054    0.0004
   34.0000   -0.0005   -0.0014   -0.0050    0.0003
   35.0000   -0.0005   -0.0013   -0.0047    0.0003
   36.0000   -0.0005   -0.0012   -0.0044    0.0003
   37.0000   -0.0004   -0.0012   -0.0042    0.0003
   38.0000   -0.0004   -0.0011   -0.0039    0.0002
   39.0000   -0.0004   -0.0011   -0.0037    0.0002
   40.0000   -0.0004   -0.0010   -0.0035    0.0002
   41.0000   -0.0003   -0.0010   -0.0033    0.0002
