FM
      QTR       Y         PI         R        DR
   35.0000    0.0023    0.0412    0.0257   -0.0008
   36.0000    0.0021    0.0381    0.0234   -0.0007
   37.0000    0.0020    0.0352    0.0213   -0.0006
   38.0000    0.0018    0.0325    0.0194   -0.0006
   39.0000    0.0017    0.0301    0.0176   -0.0005
   40.0000    0.0015    0.0278    0.0160   -0.0005

TAYMCM
    1.0000    0.6465    0.5062    0.7704   -0.2386
    2.0000    0.4443    0.2699    0.6504   -0.0945
    3.0000    0.3131    0.1430    0.5737   -0.0276
    4.0000    0.2240    0.0474    0.5098   -0.0157
    5.0000    0.1623    0.0343    0.4530   -0.0116
    6.0000    0.1197    0.0313    0.4016   -0.0103
    7.0000    0.0906    0.0341    0.3548   -0.0151
    8.0000    0.0708    0.0399    0.3150   -0.0131
    9.0000    0.0571    0.0444    0.2812   -0.0114
   10.0000    0.0475    0.0474    0.2527   -0.0098
   11.0000    0.0406    0.0490    0.2286   -0.0080
   12.0000    0.0353    0.0494    0.2083   -0.0066
   13.0000    0.0312    0.0488    0.1909   -0.0054
   14.0000    0.0278    0.0477    0.1761   -0.0044
   15.0000    0.0249    0.0462    0.1633   -0.0037
   16.0000    0.0225    0.0445    0.1521   -0.0030
   17.0000    0.0204    0.0428    0.1424   -0.0025
   18.0000    0.0186    0.0412    0.1338   -0.0021
   19.0000    0.0170    0.0395    0.1262   -0.0018
   20.0000    0.0157    0.0380    0.1194   -0.0015
   21.0000    0.0145    0.0366    0.1134   -0.0013
   22.0000    0.0134    0.0353    0.1079   -0.0011
   23.0000    0.0125    0.0341    0.1029   -0.0009
   24.0000    0.0117    0.0330    0.0984   -0.0008
   25.0000    0.0109    0.0320    0.0942   -0.0007
   26.0000    0.0103    0.0310    0.0904   -0.0006
   27.0000    0.0096    0.0300    0.0868   -0.0005
   28.0000    0.0091    0.0291    0.0834   -0.0004
   29.0000    0.0085    0.0283    0.0803   -0.0004
   30.0000    0.0080    0.0275    0.0773   -0.0004
   31.0000    0.0075    0.0267    0.0745   -0.0003
   32.0000    0.0070    0.0259    0.0719   -0.0003
   33.0000    0.0065    0.0252    0.0693   -0.0003
   34.0000    0.0061    0.0245    0.0670   -0.0003
   35.0000    0.0057    0.0239    0.0647   -0.0003
   36.0000    0.0053    0.0233    0.0626   -0.0003
   37.0000    0.0049    0.0227    0.0605   -0.0003
   38.0000    0.0045    0.0221    0.0586   -0.0003
   39.0000    0.0042    0.0216    0.0569   -0.0002
   40.0000    0.0039    0.0211    0.0552   -0.0002
