2000,.97580618,.99300885,.98437423,.9963389,.59701222,.64591384,.19091976,.27962369,.017050453,-.0071568182,-.23897876,.035191514,.024904834,.00086663041,.48886639,213642.42,0,.29993531,-1.8119812e-09,,.59701222,.0018916565,1.0297995,1.0058001,1.0177999,.21321908,.20972873
2001,.99064791,1.0001818,1.0035087,.9987393,.60478902,.66188091,.18990347,.28215793,.021740977,-.0081073698,-.25353914,.034800179,.024675574,.00081641733,.50625086,216223.03,0,.30390978,.00013333389,,.60478902,.0018277487,1.0204896,1.0053765,1.012933,.2244754,.21011113
2002,1,1,1,.99999994,.60916978,.66213363,.18813466,.28519064,.047601406,.026622325,-.20148352,.033279493,.024228061,.00071599009,.49764249,220529.2,0,.30662721,-.00054166815,,.60916978,.0016725429,.99999994,1,1,.22632995,.21416707
2003,.98216158,1.0084163,.99081761,.9935407,.61236078,.64107698,.18632586,.28876171,.034303803,.016474416,-.140779,.030241074,.022514706,.00076620327,.48779944,229082.47,0,.30414817,-.0055583334,-.00058749958,.61236078,.0018209819,.9951334,.99279547,.99396443,.22979115,.21757254
2004,.98783183,.98940593,.9943307,.97617704,.61503422,.63918555,.19282945,.29041004,.037320875,.021422654,-.17063628,.029172268,.022878949,.00096705777,.48592347,237598.94,0,.30237263,-.0071416674,-.00020416696,.61503422,.001843806,.98845541,.99143511,.98994529,.22820766,.21579711
2005,.99254364,1.0027525,1.0032943,.98773718,.63250989,.63714111,.19201651,.28884551,.039544974,.02162407,-.21532604,.029624531,.024968356,.00071598968,.47823516,247085.77,0,.30177256,-.005433334,-.00011666588,.63250989,.0018301118,.98519337,.99088675,.98804009,.22885738,.21529736
2006,1.0086641,1.024121,1.0045741,.98368466,.65766799,.62845343,.19090205,.28769168,.05104835,.02825441,-.20678365,.028921831,.025315078,.00071599038,.4787783,256809.47,0,.31099176,-.0084833335,.00017916609,.65766799,.0019579292,.99143356,.98616129,.98879743,.22565633,.21278165
2007,1.0310156,1.0455235,1.002387,.99292356,.67997462,.62091142,.18339741,.28679022,.059071425,.036192056,-.18763129,.029633539,.02645913,.00066577632,.49084952,265776.56,.0056856624,.31739059,-.0083916681,.00052500103,.67997462,.0018848907,.98926407,.98698366,.98812389,.22255227,.20882097
2008,1.0479258,1.0578589,1.0163296,1.0060105,.69495964,.66888946,.18266813,.29011703,.060321737,.050987128,-.17730786,.027862612,.023818318,.00071598956,.50648379,269813.19,.0059994664,.32262266,-.0070333318,.00036250148,.69495964,.0021335958,.98922461,.98655784,.9878912,.2274373,.21354826
2009,1.0114164,1.0522705,1.0162781,1.0152736,.70395017,.69960546,.18750168,.29735753,.045257211,.027413856,-.08058656,.028221589,.02288251,.00071598974,.49043193,273110.06,.0083641708,.31636727,-.0085666664,.00085000048,.70905697,.003263162,.99767154,.9878788,.9927752,.24742392,.23556149
